Date,Module,Type,Reference,Description,Debit,Credit,Balance
12 Jan 2023,LOANS,DISBURSEMENT,MIG-SAL-L1-DISB,Initial Loan Disbursement,50000.00,,
19 Jan 2023,LOANS,REPAYMENT,SAL-L1-REP-001,Loan Repayment,,1100.00,
26 Jan 2023,LOANS,REPAYMENT,SAL-L1-REP-002,Loan Repayment,,1100.00,
02 Feb 2023,LOANS,REPAYMENT,SAL-L1-REP-003,Loan Repayment,,1100.00,
09 Feb 2023,LOANS,REPAYMENT,SAL-L1-REP-004,Loan Repayment,,1100.00,
16 Feb 2023,LOANS,REPAYMENT,SAL-L1-REP-005,Loan Repayment,,1100.00,
23 Feb 2023,LOANS,REPAYMENT,SAL-L1-REP-006,Loan Repayment,,1100.00,
02 Mar 2023,LOANS,REPAYMENT,SAL-L1-REP-007,Loan Repayment,,1100.00,
09 Mar 2023,LOANS,REPAYMENT,SAL-L1-REP-008,Loan Repayment,,1100.00,
16 Mar 2023,LOANS,REPAYMENT,SAL-L1-REP-009,Loan Repayment,,1100.00,
23 Mar 2023,LOANS,REPAYMENT,SAL-L1-REP-010,Loan Repayment,,1100.00,
23 Mar 2023,PENALTIES,PENALTY_REPAYMENT,SAL-PEN-001,Penalty Repayment (Absent),,1000.00,
06 Apr 2023,LOANS,REPAYMENT,SAL-L1-REP-011,Loan Repayment,,1100.00,
13 Apr 2023,LOANS,REPAYMENT,SAL-L1-REP-012,Loan Repayment,,1100.00,
20 Apr 2023,LOANS,REPAYMENT,SAL-L1-REP-013,Loan Repayment,,1100.00,
27 Apr 2023,LOANS,REPAYMENT,SAL-L1-REP-014,Loan Repayment,,1100.00,
04 May 2023,LOANS,REPAYMENT,SAL-L1-REP-015,Loan Repayment,,1100.00,
11 May 2023,LOANS,REPAYMENT,SAL-L1-REP-016,Loan Repayment,,1100.00,
18 May 2023,LOANS,REPAYMENT,SAL-L1-REP-017,Loan Repayment,,1100.00,
01 Jun 2023,LOANS,REPAYMENT,SAL-L1-REP-018,Loan Repayment,,1100.00,
08 Jun 2023,LOANS,REPAYMENT,SAL-L1-REP-019,Loan Repayment,,1100.00,
15 Jun 2023,LOANS,REPAYMENT,SAL-L1-REP-020,Loan Repayment,,1100.00,
22 Jun 2023,LOANS,REPAYMENT,SAL-L1-REP-021,Loan Repayment,,1100.00,
29 Jun 2023,LOANS,REPAYMENT,SAL-L1-REP-022,Loan Repayment,,1100.00,
06 Jul 2023,LOANS,REPAYMENT,SAL-L1-REP-023,Loan Repayment,,1100.00,
13 Jul 2023,LOANS,REPAYMENT,SAL-L1-REP-024,Loan Repayment,,1100.00,
20 Jul 2023,LOANS,REPAYMENT,SAL-L1-REP-025,Loan Repayment,,1100.00,
27 Jul 2023,LOANS,REPAYMENT,SAL-L1-REP-026,Loan Repayment,,1100.00,
03 Aug 2023,LOANS,REPAYMENT,SAL-L1-REP-027,Loan Repayment,,1100.00,
10 Aug 2023,LOANS,REPAYMENT,SAL-L1-REP-028,Loan Repayment,,1100.00,
17 Aug 2023,LOANS,REPAYMENT,SAL-L1-REP-029,Loan Repayment,,1100.00,
07 Sep 2023,LOANS,REPAYMENT,SAL-L1-REP-030,Loan Repayment,,1100.00,
21 Sep 2023,LOANS,REPAYMENT,SAL-L1-REP-031,Loan Repayment,,1100.00,
28 Sep 2023,LOANS,REPAYMENT,SAL-L1-REP-032,Loan Repayment,,20000.00,
05 Oct 2023,LOANS,REPAYMENT,SAL-L1-REP-033,Loan Repayment,,916.00,
12 Oct 2023,LOANS,REFINANCE,MIG-SAL-L2-DISB,Loan 2 Disbursement,200000.00,,
12 Oct 2023,LOANS,REPAYMENT,SAL-L2-REP-001,Loan Repayment,,2500.00,
19 Oct 2023,LOANS,REPAYMENT,SAL-L2-REP-002,Loan Repayment,,2500.00,
26 Oct 2023,LOANS,REPAYMENT,SAL-L2-REP-003,Loan Repayment,,2500.00,
02 Nov 2023,LOANS,REPAYMENT,SAL-L2-REP-004,Loan Repayment,,2500.00,
09 Nov 2023,LOANS,REPAYMENT,SAL-L2-REP-005,Loan Repayment,,2500.00,
16 Nov 2023,LOANS,REPAYMENT,SAL-L2-REP-006,Loan Repayment,,2500.00,
23 Nov 2023,LOANS,REPAYMENT,SAL-L2-REP-007,Loan Repayment,,2500.00,
30 Nov 2023,LOANS,REPAYMENT,SAL-L2-REP-008,Loan Repayment,,2500.00,
07 Dec 2023,LOANS,REPAYMENT,SAL-L2-REP-009,Loan Repayment,,2500.00,
21 Dec 2023,LOANS,REPAYMENT,SAL-L2-REP-010,Loan Repayment,,2000.00,
28 Dec 2023,LOANS,REPAYMENT,SAL-L2-REP-011,Loan Repayment,,2500.00,
11 Jan 2024,LOANS,REPAYMENT,SAL-L2-REP-012,Loan Repayment,,2000.00,
25 Jan 2024,LOANS,REPAYMENT,SAL-L2-REP-013,Loan Repayment,,1700.00,
01 Feb 2024,LOANS,REPAYMENT,SAL-L2-REP-014,Loan Repayment,,2000.00,
08 Feb 2024,LOANS,REPAYMENT,SAL-L2-REP-015,Loan Repayment,,2000.00,
